url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,101,72
/mmvanheusden/SteamDepotDownloaderGUI,93,68
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,23,11
/mmvanheusden/SteamDepotDownloaderGUI/issues,20,9
/mmvanheusden/SteamDepotDownloaderGUI/releases,17,9
/mmvanheusden/SteamDepotDownloaderGUI/issues/91,8,6
/mmvanheusden/SteamDepotDownloaderGUI/pulls,4,3
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,3,2
/mmvanheusden/SteamDepotDownloaderGUI/compare/v2.1.0...v2.1.1,2,2
/mmvanheusden/SteamDepotDownloaderGUI/find/master,2,2
