referrer,views_total,views_unique
Google,78,26
youtube.com,52,17
github.com,27,13
steamcommunity.com,4,3
search.brave.com,4,3
yandex.ru,1,1
framedsc.com,1,1
Yahoo,1,1
cn.bing.com,1,1
yandex.com.tr,1,1
