url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,307,154
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.1,110,70
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,30,12
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,23,17
/mmvanheusden/SteamDepotDownloaderGUI/releases,14,10
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,13,9
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,12,3
/mmvanheusden/SteamDepotDownloaderGUI/issues,11,7
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,8,7
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.0,6,4
