referrer,views_total,views_unique
Google,83,26
youtube.com,59,20
github.com,26,13
framedsc.com,6,3
yandex.ru,4,1
steamcommunity.com,2,2
Bing,2,1
search.brave.com,1,1
cn.bing.com,1,1
Yahoo,1,1
