url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,173,100
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,81,47
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,18,9
/mmvanheusden/SteamDepotDownloaderGUI/releases,14,11
/mmvanheusden/SteamDepotDownloaderGUI/issues,11,7
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,9,8
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,7,5
/mmvanheusden/SteamDepotDownloaderGUI/pulls,7,4
/mmvanheusden/SteamDepotDownloaderGUI/find/master,6,5
/mmvanheusden/SteamDepotDownloaderGUI/discussions,4,4
