time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-30 00:00:00+00:00,2.0,2.0,23,8
2023-12-01 00:00:00+00:00,7.0,5.0,13,7
2023-12-02 00:00:00+00:00,2.0,2.0,19,8
2023-12-03 00:00:00+00:00,20.0,7.0,38,11
2023-12-04 00:00:00+00:00,7.0,7.0,15,10
2023-12-05 00:00:00+00:00,4.0,4.0,18,5
2023-12-06 00:00:00+00:00,50.0,16.0,42,23
2023-12-07 00:00:00+00:00,8.0,6.0,97,36
2023-12-08 00:00:00+00:00,16.0,9.0,152,71
2023-12-09 00:00:00+00:00,14.0,11.0,87,19
2023-12-10 00:00:00+00:00,7.0,5.0,55,34
2023-12-11 00:00:00+00:00,9.0,6.0,32,15
2023-12-12 00:00:00+00:00,2.0,2.0,45,21
2023-12-13 00:00:00+00:00,,,70,14
