time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-01 00:00:00+00:00,2.0,2.0,27,11
2023-10-02 00:00:00+00:00,4.0,4.0,32,13
2023-10-03 00:00:00+00:00,2.0,2.0,13,8
2023-10-04 00:00:00+00:00,3.0,3.0,26,6
2023-10-05 00:00:00+00:00,5.0,4.0,43,14
2023-10-06 00:00:00+00:00,17.0,6.0,18,9
2023-10-07 00:00:00+00:00,1.0,1.0,8,4
2023-10-08 00:00:00+00:00,1.0,1.0,31,15
2023-10-09 00:00:00+00:00,5.0,4.0,25,9
2023-10-10 00:00:00+00:00,7.0,5.0,26,6
2023-10-11 00:00:00+00:00,13.0,3.0,39,12
2023-10-12 00:00:00+00:00,2.0,2.0,17,9
2023-10-13 00:00:00+00:00,2.0,2.0,32,7
2023-10-14 00:00:00+00:00,,,15,7
