url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,287,147
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.1,54,39
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,47,33
/mmvanheusden/SteamDepotDownloaderGUI/issues,25,12
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,24,18
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,18,9
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,15,11
/mmvanheusden/SteamDepotDownloaderGUI/issues/150,14,3
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,12,3
/mmvanheusden/SteamDepotDownloaderGUI/releases,10,9
