url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,306,164
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,162,88
/mmvanheusden/SteamDepotDownloaderGUI/releases,18,15
/mmvanheusden/SteamDepotDownloaderGUI/issues,18,12
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,12,6
/mmvanheusden/SteamDepotDownloaderGUI/issues/153,11,4
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,9,8
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,9,6
/mmvanheusden/SteamDepotDownloaderGUI/discussions,5,5
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.2.0,5,4
