url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,265,137
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,109,75
/mmvanheusden/SteamDepotDownloaderGUI/releases,36,26
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,24,9
/mmvanheusden/SteamDepotDownloaderGUI/issues,7,6
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,5,5
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,5,4
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,4,4
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,4,1
/mmvanheusden/SteamDepotDownloaderGUI/pulls,3,2
