time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-12 00:00:00+00:00,6.0,5.0,78,20
2024-01-13 00:00:00+00:00,8.0,8.0,45,21
2024-01-14 00:00:00+00:00,2.0,2.0,66,24
2024-01-15 00:00:00+00:00,26.0,13.0,36,16
2024-01-16 00:00:00+00:00,3.0,3.0,31,18
2024-01-17 00:00:00+00:00,2.0,2.0,34,13
2024-01-18 00:00:00+00:00,2.0,2.0,37,19
2024-01-19 00:00:00+00:00,2.0,2.0,38,12
2024-01-20 00:00:00+00:00,3.0,3.0,39,17
2024-01-21 00:00:00+00:00,11.0,6.0,38,19
2024-01-22 00:00:00+00:00,17.0,8.0,61,24
2024-01-23 00:00:00+00:00,6.0,4.0,24,12
2024-01-24 00:00:00+00:00,3.0,3.0,47,16
2024-01-25 00:00:00+00:00,,,29,11
