time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-16 00:00:00+00:00,3,2,14,5
2022-12-17 00:00:00+00:00,3,3,27,8
2022-12-18 00:00:00+00:00,1,1,21,7
2022-12-19 00:00:00+00:00,8,7,17,7
2022-12-20 00:00:00+00:00,5,4,21,9
2022-12-21 00:00:00+00:00,10,7,27,7
2022-12-22 00:00:00+00:00,4,3,15,5
2022-12-23 00:00:00+00:00,6,5,17,8
2022-12-24 00:00:00+00:00,3,3,7,4
2022-12-25 00:00:00+00:00,3,3,3,2
2022-12-26 00:00:00+00:00,6,5,8,5
2022-12-27 00:00:00+00:00,3,3,4,3
2022-12-28 00:00:00+00:00,6,5,16,6
2022-12-29 00:00:00+00:00,3,2,20,9
