time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-19 00:00:00+00:00,11,8,75,21
2023-12-20 00:00:00+00:00,21,8,73,20
2023-12-21 00:00:00+00:00,4,3,47,22
2023-12-22 00:00:00+00:00,2,2,27,13
2023-12-23 00:00:00+00:00,37,10,32,14
2023-12-24 00:00:00+00:00,4,4,24,11
2023-12-25 00:00:00+00:00,4,4,34,15
2023-12-26 00:00:00+00:00,19,9,101,25
2023-12-27 00:00:00+00:00,4,4,26,13
2023-12-28 00:00:00+00:00,3,3,22,12
2023-12-29 00:00:00+00:00,2,2,35,20
2023-12-30 00:00:00+00:00,6,5,42,17
2023-12-31 00:00:00+00:00,3,3,46,18
2024-01-01 00:00:00+00:00,9,6,26,17
