url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,279,148
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,109,76
/mmvanheusden/SteamDepotDownloaderGUI/releases,23,19
/mmvanheusden/SteamDepotDownloaderGUI/tree/v2.2.0,20,1
/mmvanheusden/SteamDepotDownloaderGUI/issues,19,14
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,15,5
/mmvanheusden/SteamDepotDownloaderGUI/pull/157,8,7
/mmvanheusden/SteamDepotDownloaderGUI/pulls,8,7
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,8,2
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/index.html,6,2
