url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,424,230
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.1,85,49
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.0,32,25
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,30,11
/mmvanheusden/SteamDepotDownloaderGUI/releases,24,19
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,17,5
/mmvanheusden/SteamDepotDownloaderGUI/issues,14,7
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/main.js,13,6
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,11,7
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,11,7
