time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-11 00:00:00+00:00,1,1,9,5
2023-03-12 00:00:00+00:00,4,4,39,9
2023-03-13 00:00:00+00:00,8,7,16,8
2023-03-14 00:00:00+00:00,18,6,15,8
2023-03-15 00:00:00+00:00,5,4,9,5
2023-03-16 00:00:00+00:00,6,4,23,8
2023-03-17 00:00:00+00:00,4,3,16,5
2023-03-18 00:00:00+00:00,3,3,26,6
2023-03-19 00:00:00+00:00,2,2,24,7
2023-03-20 00:00:00+00:00,4,3,10,6
2023-03-21 00:00:00+00:00,4,3,12,9
2023-03-22 00:00:00+00:00,14,6,32,13
2023-03-23 00:00:00+00:00,6,5,41,20
2023-03-24 00:00:00+00:00,9,6,64,15
