url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,108,77
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.2.0,41,31
/mmvanheusden/SteamDepotDownloaderGUI/releases,21,15
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,14,6
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,11,9
/mmvanheusden/SteamDepotDownloaderGUI/issues,11,8
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,7,4
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,7,2
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/LICENSE.md,6,3
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,5,3
