time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-12 00:00:00+00:00,4,3,46,16
2023-08-13 00:00:00+00:00,3,2,14,8
2023-08-14 00:00:00+00:00,6,4,8,6
2023-08-15 00:00:00+00:00,8,6,10,7
2023-08-16 00:00:00+00:00,6,4,13,6
2023-08-17 00:00:00+00:00,8,6,15,7
2023-08-18 00:00:00+00:00,7,5,9,4
2023-08-19 00:00:00+00:00,6,4,16,8
2023-08-20 00:00:00+00:00,12,7,30,8
2023-08-21 00:00:00+00:00,5,4,11,4
2023-08-22 00:00:00+00:00,5,4,37,6
2023-08-23 00:00:00+00:00,8,7,17,11
2023-08-24 00:00:00+00:00,5,4,28,14
2023-08-25 00:00:00+00:00,6,5,47,6
