url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,93,72
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,46,35
/mmvanheusden/SteamDepotDownloaderGUI/issues,12,6
/mmvanheusden/SteamDepotDownloaderGUI/releases,9,9
/mmvanheusden/SteamDepotDownloaderGUI/discussions,4,4
/mmvanheusden/SteamDepotDownloaderGUI/issues/51,4,2
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,3,2
/mmvanheusden/SteamDepotDownloaderGUI/issues/12,3,1
/mmvanheusden/SteamDepotDownloaderGUI/pulls,2,2
/mmvanheusden/SteamDepotDownloaderGUI/tree/v2.1.0,2,2
