time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-22 00:00:00+00:00,5,4,12,8
2022-11-23 00:00:00+00:00,6,5,58,9
2022-11-24 00:00:00+00:00,9,7,20,7
2022-11-25 00:00:00+00:00,10,8,9,3
2022-11-26 00:00:00+00:00,3,3,11,6
2022-11-27 00:00:00+00:00,2,2,23,10
2022-11-28 00:00:00+00:00,1,1,49,3
2022-11-29 00:00:00+00:00,5,4,13,4
2022-11-30 00:00:00+00:00,9,8,23,12
2022-12-01 00:00:00+00:00,11,9,32,8
2022-12-02 00:00:00+00:00,7,5,18,9
2022-12-03 00:00:00+00:00,5,5,7,3
2022-12-04 00:00:00+00:00,1,1,19,3
2022-12-05 00:00:00+00:00,5,4,17,7
