time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-17 00:00:00+00:00,4,3,16,5
2023-03-18 00:00:00+00:00,3,3,26,6
2023-03-19 00:00:00+00:00,2,2,24,7
2023-03-20 00:00:00+00:00,4,3,10,6
2023-03-21 00:00:00+00:00,4,3,12,9
2023-03-22 00:00:00+00:00,14,6,32,13
2023-03-23 00:00:00+00:00,6,5,41,20
2023-03-24 00:00:00+00:00,12,8,65,16
2023-03-25 00:00:00+00:00,2,2,22,9
2023-03-26 00:00:00+00:00,1,1,15,8
2023-03-27 00:00:00+00:00,5,4,24,10
2023-03-28 00:00:00+00:00,4,3,23,10
2023-03-29 00:00:00+00:00,6,4,24,12
2023-03-30 00:00:00+00:00,5,4,11,5
