url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,394,219
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.1,68,37
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.0,45,34
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,30,11
/mmvanheusden/SteamDepotDownloaderGUI/releases,23,18
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,17,5
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/main.js,13,6
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,12,8
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,11,8
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/index.html,9,2
