time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-31 00:00:00+00:00,6.0,4.0,9,4
2023-08-01 00:00:00+00:00,5.0,3.0,6,5
2023-08-02 00:00:00+00:00,9.0,5.0,67,19
2023-08-03 00:00:00+00:00,5.0,3.0,11,7
2023-08-04 00:00:00+00:00,38.0,8.0,48,14
2023-08-05 00:00:00+00:00,5.0,4.0,20,9
2023-08-06 00:00:00+00:00,5.0,4.0,35,10
2023-08-07 00:00:00+00:00,8.0,6.0,19,12
2023-08-08 00:00:00+00:00,7.0,5.0,31,11
2023-08-09 00:00:00+00:00,11.0,9.0,17,9
2023-08-10 00:00:00+00:00,7.0,4.0,8,5
2023-08-11 00:00:00+00:00,10.0,7.0,14,9
2023-08-12 00:00:00+00:00,4.0,3.0,46,16
2023-08-13 00:00:00+00:00,,,14,8
