url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,274,140
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,106,73
/mmvanheusden/SteamDepotDownloaderGUI/releases,29,22
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,22,8
/mmvanheusden/SteamDepotDownloaderGUI/tree/v2.2.0,11,1
/mmvanheusden/SteamDepotDownloaderGUI/issues,9,8
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,6,5
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,4,4
/mmvanheusden/SteamDepotDownloaderGUI/pulls,4,3
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,4,1
