url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,272,153
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,104,74
/mmvanheusden/SteamDepotDownloaderGUI/releases,22,16
/mmvanheusden/SteamDepotDownloaderGUI/tree/v2.2.0,20,1
/mmvanheusden/SteamDepotDownloaderGUI/issues,18,14
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,11,4
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,10,3
/mmvanheusden/SteamDepotDownloaderGUI/pull/157,8,7
/mmvanheusden/SteamDepotDownloaderGUI/pulls,8,7
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/index.html,8,3
