time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-25 00:00:00+00:00,4,3,29,11
2023-04-26 00:00:00+00:00,7,5,32,8
2023-04-27 00:00:00+00:00,13,6,15,9
2023-04-28 00:00:00+00:00,5,3,86,16
2023-04-29 00:00:00+00:00,3,2,21,11
2023-04-30 00:00:00+00:00,3,2,36,12
2023-05-01 00:00:00+00:00,4,3,15,6
2023-05-02 00:00:00+00:00,5,3,14,8
2023-05-03 00:00:00+00:00,7,5,24,6
2023-05-04 00:00:00+00:00,5,3,11,8
2023-05-05 00:00:00+00:00,9,6,31,8
2023-05-06 00:00:00+00:00,3,2,23,10
2023-05-07 00:00:00+00:00,3,2,23,9
2023-05-08 00:00:00+00:00,5,4,39,15
