url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,79,57
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,52,31
/mmvanheusden/SteamDepotDownloaderGUI/releases,9,6
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,7,4
/mmvanheusden/SteamDepotDownloaderGUI/pulls,6,4
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,5,5
/mmvanheusden/SteamDepotDownloaderGUI/issues,4,4
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,4,1
/mmvanheusden/SteamDepotDownloaderGUI/search,3,3
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,3,2
