time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-27 00:00:00+00:00,4,4,26,13
2023-12-28 00:00:00+00:00,3,3,22,12
2023-12-29 00:00:00+00:00,2,2,35,20
2023-12-30 00:00:00+00:00,6,5,42,17
2023-12-31 00:00:00+00:00,3,3,46,18
2024-01-01 00:00:00+00:00,11,8,26,17
2024-01-02 00:00:00+00:00,8,7,47,19
2024-01-03 00:00:00+00:00,3,3,47,20
2024-01-04 00:00:00+00:00,2,2,34,18
2024-01-05 00:00:00+00:00,3,3,50,20
2024-01-06 00:00:00+00:00,3,3,41,18
2024-01-07 00:00:00+00:00,3,3,62,25
2024-01-08 00:00:00+00:00,7,6,52,22
2024-01-09 00:00:00+00:00,1,1,41,18
