time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-05 00:00:00+00:00,5,4,20,9
2023-08-06 00:00:00+00:00,5,4,35,10
2023-08-07 00:00:00+00:00,8,6,19,12
2023-08-08 00:00:00+00:00,7,5,31,11
2023-08-09 00:00:00+00:00,11,9,17,9
2023-08-10 00:00:00+00:00,7,4,8,5
2023-08-11 00:00:00+00:00,10,7,14,9
2023-08-12 00:00:00+00:00,4,3,46,16
2023-08-13 00:00:00+00:00,3,2,14,8
2023-08-14 00:00:00+00:00,6,4,8,6
2023-08-15 00:00:00+00:00,8,6,10,7
2023-08-16 00:00:00+00:00,6,4,13,6
2023-08-17 00:00:00+00:00,8,6,15,7
2023-08-18 00:00:00+00:00,4,3,9,4
