url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,311,190
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.0,86,70
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,20,6
/mmvanheusden/SteamDepotDownloaderGUI/releases,17,14
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/main.js,16,7
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,16,7
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,10,6
/mmvanheusden/SteamDepotDownloaderGUI/issues,8,6
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/index.html,8,2
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,6,5
