time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-01 00:00:00+00:00,4,3,15,6
2023-05-02 00:00:00+00:00,5,3,14,8
2023-05-03 00:00:00+00:00,7,5,24,6
2023-05-04 00:00:00+00:00,5,3,11,8
2023-05-05 00:00:00+00:00,9,6,31,8
2023-05-06 00:00:00+00:00,3,2,23,10
2023-05-07 00:00:00+00:00,3,2,23,9
2023-05-08 00:00:00+00:00,10,6,49,16
2023-05-09 00:00:00+00:00,6,4,19,9
2023-05-10 00:00:00+00:00,7,5,21,7
2023-05-11 00:00:00+00:00,6,3,12,5
2023-05-12 00:00:00+00:00,5,3,27,10
2023-05-13 00:00:00+00:00,3,2,23,4
2023-05-14 00:00:00+00:00,8,4,20,8
