url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,76,53
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,47,28
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,7,4
/mmvanheusden/SteamDepotDownloaderGUI/releases,6,4
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,4,4
/mmvanheusden/SteamDepotDownloaderGUI/pulls,4,2
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,4,1
/mmvanheusden/SteamDepotDownloaderGUI/issues,3,3
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,3,2
/mmvanheusden/SteamDepotDownloaderGUI/discussions,2,2
