time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-22 00:00:00+00:00,4,3,15,5
2022-12-23 00:00:00+00:00,6,5,17,8
2022-12-24 00:00:00+00:00,3,3,7,4
2022-12-25 00:00:00+00:00,3,3,3,2
2022-12-26 00:00:00+00:00,6,5,8,5
2022-12-27 00:00:00+00:00,3,3,4,3
2022-12-28 00:00:00+00:00,6,5,16,6
2022-12-29 00:00:00+00:00,5,4,20,9
2022-12-30 00:00:00+00:00,4,3,20,9
2022-12-31 00:00:00+00:00,4,4,11,6
2023-01-01 00:00:00+00:00,2,2,16,8
2023-01-02 00:00:00+00:00,9,7,41,9
2023-01-03 00:00:00+00:00,25,12,3,3
2023-01-04 00:00:00+00:00,8,5,25,7
