url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,160,107
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.2.0,56,43
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,20,8
/mmvanheusden/SteamDepotDownloaderGUI/releases,15,6
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,12,3
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,11,5
/mmvanheusden/SteamDepotDownloaderGUI/issues,11,4
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,10,8
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,10,8
/mmvanheusden/SteamDepotDownloaderGUI/blob/1723bc6af0992424d32b05de58d14edc5e4c6d6b/index.html,7,1
