url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,134,81
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,69,47
/mmvanheusden/SteamDepotDownloaderGUI/releases,11,10
/mmvanheusden/SteamDepotDownloaderGUI/issues,8,5
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,6,3
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,6,1
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,5,5
/mmvanheusden/SteamDepotDownloaderGUI/search,3,3
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github/workflows,3,1
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,2,2
