url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,98,68
/mmvanheusden/SteamDepotDownloaderGUI,94,67
/mmvanheusden/SteamDepotDownloaderGUI/releases,20,9
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,19,9
/mmvanheusden/SteamDepotDownloaderGUI/issues,15,6
/mmvanheusden/SteamDepotDownloaderGUI/issues/91,6,4
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,4,2
/https://github.com/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,4,1
/mmvanheusden/SteamDepotDownloaderGUI/find/master,3,3
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/package-lock.json,3,2
