time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-30 00:00:00+00:00,9,8,23,12
2022-12-01 00:00:00+00:00,11,9,32,8
2022-12-02 00:00:00+00:00,7,5,18,9
2022-12-03 00:00:00+00:00,5,5,7,3
2022-12-04 00:00:00+00:00,1,1,19,3
2022-12-05 00:00:00+00:00,9,8,17,7
2022-12-06 00:00:00+00:00,9,7,22,6
2022-12-07 00:00:00+00:00,9,6,6,3
2022-12-08 00:00:00+00:00,5,4,20,7
2022-12-09 00:00:00+00:00,4,3,28,10
2022-12-10 00:00:00+00:00,3,3,10,4
2022-12-11 00:00:00+00:00,1,1,16,11
2022-12-12 00:00:00+00:00,6,4,10,7
2022-12-13 00:00:00+00:00,6,5,5,5
