time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-02 00:00:00+00:00,5,3,27,8
2023-06-03 00:00:00+00:00,3,2,9,5
2023-06-04 00:00:00+00:00,3,2,30,8
2023-06-05 00:00:00+00:00,9,7,12,5
2023-06-06 00:00:00+00:00,5,3,3,3
2023-06-07 00:00:00+00:00,7,5,8,4
2023-06-08 00:00:00+00:00,6,4,12,8
2023-06-09 00:00:00+00:00,6,4,18,7
2023-06-10 00:00:00+00:00,4,3,9,5
2023-06-11 00:00:00+00:00,4,3,28,7
2023-06-12 00:00:00+00:00,7,5,22,5
2023-06-13 00:00:00+00:00,3,2,4,3
2023-06-14 00:00:00+00:00,9,5,15,8
2023-06-15 00:00:00+00:00,2,1,8,3
