url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,422,232
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.1,106,61
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,34,13
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.0,25,20
/mmvanheusden/SteamDepotDownloaderGUI/releases,22,17
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,17,5
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,16,10
/mmvanheusden/SteamDepotDownloaderGUI/issues,15,8
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/main.js,13,6
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,11,7
