url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,150,98
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,104,69
/mmvanheusden/SteamDepotDownloaderGUI/releases,9,5
/mmvanheusden/SteamDepotDownloaderGUI/issues,8,5
/mmvanheusden/SteamDepotDownloaderGUI/forks,8,3
/mmvanheusden/SteamDepotDownloaderGUI/pulls,7,6
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,4,3
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/main.js,4,2
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,4,2
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,3,3
