url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,98,71
/mmvanheusden/SteamDepotDownloaderGUI,88,68
/mmvanheusden/SteamDepotDownloaderGUI/releases,20,9
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,19,9
/mmvanheusden/SteamDepotDownloaderGUI/issues,15,6
/mmvanheusden/SteamDepotDownloaderGUI/issues/91,6,4
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,4,2
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/package-lock.json,3,2
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,3,2
/mmvanheusden/SteamDepotDownloaderGUI/pulls,3,2
