time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-27 00:00:00+00:00,6,6,34,18
2023-11-28 00:00:00+00:00,5,4,34,13
2023-11-29 00:00:00+00:00,3,3,10,8
2023-11-30 00:00:00+00:00,2,2,23,8
2023-12-01 00:00:00+00:00,7,5,13,7
2023-12-02 00:00:00+00:00,2,2,19,8
2023-12-03 00:00:00+00:00,20,7,38,11
2023-12-04 00:00:00+00:00,7,7,15,10
2023-12-05 00:00:00+00:00,4,4,18,5
2023-12-06 00:00:00+00:00,50,16,42,23
2023-12-07 00:00:00+00:00,8,6,97,36
2023-12-08 00:00:00+00:00,16,9,152,71
2023-12-09 00:00:00+00:00,14,11,87,19
2023-12-10 00:00:00+00:00,5,4,51,32
