url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,99,68
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,49,31
/mmvanheusden/SteamDepotDownloaderGUI/releases,18,9
/mmvanheusden/SteamDepotDownloaderGUI/issues,14,8
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,12,8
/mmvanheusden/steamdepotdownloadergui/issues,6,1
/mmvanheusden/SteamDepotDownloaderGUI/find/master,5,4
/mmvanheusden/SteamDepotDownloaderGUI/tree/github-repo-stats/mmvanheusden/SteamDepotDownloaderGUI,5,1
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,4,2
/mmvanheusden/SteamDepotDownloaderGUI/tags,4,2
