url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,110,67
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,57,34
/mmvanheusden/SteamDepotDownloaderGUI/releases,18,11
/mmvanheusden/SteamDepotDownloaderGUI/issues,18,10
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,9,6
/mmvanheusden/steamdepotdownloadergui/issues,6,1
/mmvanheusden/SteamDepotDownloaderGUI/find/master,5,4
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,4,2
/mmvanheusden/SteamDepotDownloaderGUI/discussions,3,2
/mmvanheusden/SteamDepotDownloaderGUI/commits,2,2
