time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-24 00:00:00+00:00,3,3,39,11
2023-10-25 00:00:00+00:00,5,5,13,5
2023-10-26 00:00:00+00:00,4,4,23,8
2023-10-27 00:00:00+00:00,4,4,16,8
2023-10-28 00:00:00+00:00,2,2,31,15
2023-10-29 00:00:00+00:00,2,2,92,15
2023-10-30 00:00:00+00:00,4,4,23,14
2023-10-31 00:00:00+00:00,2,2,12,8
2023-11-01 00:00:00+00:00,6,4,34,12
2023-11-02 00:00:00+00:00,3,3,67,7
2023-11-03 00:00:00+00:00,5,4,18,12
2023-11-04 00:00:00+00:00,16,8,60,17
2023-11-05 00:00:00+00:00,3,2,49,14
2023-11-06 00:00:00+00:00,4,4,17,12
