url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,150,80
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.2.0,30,27
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.0,29,18
/mmvanheusden/SteamDepotDownloaderGUI/releases,14,7
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,12,5
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,7,7
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,7,5
/mmvanheusden/SteamDepotDownloaderGUI/activity,6,1
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/index.html,5,2
/mmvanheusden/SteamDepotDownloaderGUI/issues,5,2
