url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,188,84
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.0,58,42
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,15,13
/mmvanheusden/SteamDepotDownloaderGUI/releases,11,6
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,8,4
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/index.html,7,3
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.2.0,6,5
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,6,2
/mmvanheusden/SteamDepotDownloaderGUI/pulls,5,4
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/main.js,5,2
