url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,110,67
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,55,33
/mmvanheusden/SteamDepotDownloaderGUI/releases,18,11
/mmvanheusden/SteamDepotDownloaderGUI/issues,16,8
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,8,5
/mmvanheusden/steamdepotdownloadergui/issues,6,1
/mmvanheusden/SteamDepotDownloaderGUI/find/master,5,4
/mmvanheusden/SteamDepotDownloaderGUI/tree/github-repo-stats/mmvanheusden/SteamDepotDownloaderGUI,5,1
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,4,2
/mmvanheusden/SteamDepotDownloaderGUI/forks,4,1
