time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-16 00:00:00+00:00,6.0,5.0,23,10
2023-07-17 00:00:00+00:00,10.0,6.0,25,8
2023-07-18 00:00:00+00:00,37.0,7.0,17,11
2023-07-19 00:00:00+00:00,6.0,4.0,45,14
2023-07-20 00:00:00+00:00,8.0,6.0,56,22
2023-07-21 00:00:00+00:00,6.0,4.0,68,16
2023-07-22 00:00:00+00:00,4.0,3.0,56,15
2023-07-23 00:00:00+00:00,4.0,3.0,43,13
2023-07-24 00:00:00+00:00,8.0,6.0,35,13
2023-07-25 00:00:00+00:00,13.0,6.0,42,16
2023-07-26 00:00:00+00:00,7.0,5.0,29,11
2023-07-27 00:00:00+00:00,5.0,3.0,36,11
2023-07-28 00:00:00+00:00,13.0,9.0,26,14
2023-07-29 00:00:00+00:00,,,21,8
