url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,91,62
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,50,30
/mmvanheusden/SteamDepotDownloaderGUI/releases,13,8
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,9,7
/mmvanheusden/SteamDepotDownloaderGUI/pulls,6,4
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,6,3
/mmvanheusden/SteamDepotDownloaderGUI/issues,5,5
/mmvanheusden/SteamDepotDownloaderGUI/find/master,5,3
/mmvanheusden/SteamDepotDownloaderGUI/issues/91,4,3
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,4,2
