url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,349,206
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.0,58,45
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.1,34,23
/mmvanheusden/SteamDepotDownloaderGUI/releases,24,18
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,22,8
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,17,5
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,14,8
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/main.js,13,6
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,9,6
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/index.html,9,2
