time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-24 00:00:00+00:00,6,3,12,7
2023-01-25 00:00:00+00:00,8,5,27,7
2023-01-26 00:00:00+00:00,11,6,6,5
2023-01-27 00:00:00+00:00,6,3,11,5
2023-01-28 00:00:00+00:00,5,3,18,8
2023-01-29 00:00:00+00:00,4,2,4,3
2023-01-30 00:00:00+00:00,10,7,18,5
2023-01-31 00:00:00+00:00,13,8,15,5
2023-02-01 00:00:00+00:00,9,6,13,6
2023-02-02 00:00:00+00:00,8,4,43,13
2023-02-03 00:00:00+00:00,8,6,24,9
2023-02-04 00:00:00+00:00,7,3,28,9
2023-02-05 00:00:00+00:00,1,1,12,6
2023-02-06 00:00:00+00:00,3,2,9,4
