url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,148,92
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,42,31
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,20,15
/mmvanheusden/SteamDepotDownloaderGUI/releases,19,13
/mmvanheusden/SteamDepotDownloaderGUI/issues,14,9
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,7,4
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,5,5
/mmvanheusden/SteamDepotDownloaderGUI/discussions,5,2
/mmvanheusden/SteamDepotDownloaderGUI/issues/82,4,3
/mmvanheusden/SteamDepotDownloaderGUI/commit/fcbf340a952826d9c3545395563ec82404a207f4,3,3
