time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-07 00:00:00+00:00,9,6,6,3
2022-12-08 00:00:00+00:00,5,4,20,7
2022-12-09 00:00:00+00:00,4,3,28,10
2022-12-10 00:00:00+00:00,3,3,10,4
2022-12-11 00:00:00+00:00,1,1,16,11
2022-12-12 00:00:00+00:00,6,4,10,7
2022-12-13 00:00:00+00:00,9,7,5,5
2022-12-14 00:00:00+00:00,11,8,17,7
2022-12-15 00:00:00+00:00,7,6,9,7
2022-12-16 00:00:00+00:00,3,2,14,5
2022-12-17 00:00:00+00:00,3,3,27,8
2022-12-18 00:00:00+00:00,1,1,21,7
2022-12-19 00:00:00+00:00,8,7,17,7
2022-12-20 00:00:00+00:00,4,3,21,9
