url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,103,75
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,73,40
/mmvanheusden/SteamDepotDownloaderGUI/releases,15,7
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,10,5
/mmvanheusden/SteamDepotDownloaderGUI/issues,6,5
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,6,4
/mmvanheusden/SteamDepotDownloaderGUI/pulls,5,3
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,5,2
/mmvanheusden/SteamDepotDownloaderGUI/issues/91,4,3
/mmvanheusden/SteamDepotDownloaderGUI/find/master,4,2
