time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-06 00:00:00+00:00,3.0,2.0,23,10
2023-05-07 00:00:00+00:00,3.0,2.0,23,9
2023-05-08 00:00:00+00:00,10.0,6.0,49,16
2023-05-09 00:00:00+00:00,6.0,4.0,19,9
2023-05-10 00:00:00+00:00,7.0,5.0,21,7
2023-05-11 00:00:00+00:00,6.0,3.0,12,5
2023-05-12 00:00:00+00:00,5.0,3.0,27,10
2023-05-13 00:00:00+00:00,3.0,2.0,23,4
2023-05-14 00:00:00+00:00,11.0,5.0,30,9
2023-05-15 00:00:00+00:00,7.0,5.0,11,8
2023-05-16 00:00:00+00:00,3.0,2.0,14,5
2023-05-17 00:00:00+00:00,6.0,5.0,24,12
2023-05-18 00:00:00+00:00,11.0,6.0,15,6
2023-05-19 00:00:00+00:00,,,25,7
