time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-12 00:00:00+00:00,5,3,27,13
2023-07-13 00:00:00+00:00,7,5,22,16
2023-07-14 00:00:00+00:00,9,7,21,8
2023-07-15 00:00:00+00:00,5,4,16,4
2023-07-16 00:00:00+00:00,6,5,23,10
2023-07-17 00:00:00+00:00,10,6,25,8
2023-07-18 00:00:00+00:00,37,7,17,11
2023-07-19 00:00:00+00:00,6,4,45,14
2023-07-20 00:00:00+00:00,8,6,56,22
2023-07-21 00:00:00+00:00,6,4,68,16
2023-07-22 00:00:00+00:00,4,3,56,15
2023-07-23 00:00:00+00:00,4,3,43,13
2023-07-24 00:00:00+00:00,8,6,35,13
2023-07-25 00:00:00+00:00,9,4,42,16
