url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,124,76
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,76,42
/mmvanheusden/SteamDepotDownloaderGUI/issues,21,12
/mmvanheusden/SteamDepotDownloaderGUI/releases,20,14
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,7,4
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,6,5
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,5,4
/mmvanheusden/SteamDepotDownloaderGUI/discussions,5,3
/mmvanheusden/SteamDepotDownloaderGUI/find/master,4,4
/mmvanheusden/SteamDepotDownloaderGUI/issues/91,3,3
