url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,101,63
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.2.0,57,34
/mmvanheusden/SteamDepotDownloaderGUI/releases,15,9
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,14,11
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/.github/ISSUE_TEMPLATE/feature_request.md,8,1
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,7,3
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,6,5
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,6,2
/mmvanheusden/SteamDepotDownloaderGUI/commit/db75c7f6233c1c18c8f19b6ad4c854e5599fa9f5,4,2
/mmvanheusden/SteamDepotDownloaderGUI/blame/master/.github/ISSUE_TEMPLATE/feature_request.md,3,1
