time_iso8601,stars_cumulative
2020-11-14 00:00:00+00:00,1
2020-12-01 00:00:00+00:00,2
2020-12-18 00:00:00+00:00,3
2021-02-01 00:00:00+00:00,4
2021-02-16 00:00:00+00:00,5
2021-02-19 00:00:00+00:00,6
2021-02-23 00:00:00+00:00,7
2021-05-16 00:00:00+00:00,8
2021-07-25 00:00:00+00:00,9
2021-09-03 00:00:00+00:00,10
2021-09-10 00:00:00+00:00,11
2021-10-10 00:00:00+00:00,12
2021-10-12 00:00:00+00:00,13
2021-10-23 00:00:00+00:00,14
2021-10-24 00:00:00+00:00,16
2021-10-25 00:00:00+00:00,17
2021-10-31 00:00:00+00:00,18
2021-11-12 00:00:00+00:00,19
2021-11-13 00:00:00+00:00,20
2021-11-18 00:00:00+00:00,21
2021-11-22 00:00:00+00:00,22
2021-12-19 00:00:00+00:00,23
2022-01-16 00:00:00+00:00,24
2022-03-10 00:00:00+00:00,25
2022-03-23 00:00:00+00:00,26
2022-04-26 00:00:00+00:00,28
2022-05-01 00:00:00+00:00,29
2022-05-10 00:00:00+00:00,30
2022-06-14 00:00:00+00:00,31
2022-06-16 00:00:00+00:00,33
2022-06-23 00:00:00+00:00,34
2022-07-03 00:00:00+00:00,35
2022-07-08 00:00:00+00:00,36
2022-07-25 00:00:00+00:00,37
2022-08-12 00:00:00+00:00,38
2022-08-17 00:00:00+00:00,39
2022-09-02 00:00:00+00:00,40
2022-09-21 00:00:00+00:00,41
2022-10-15 00:00:00+00:00,42
2022-10-18 00:00:00+00:00,43
2022-10-23 00:00:00+00:00,45
2022-10-26 00:00:00+00:00,46
2022-10-29 00:00:00+00:00,47
2022-11-03 00:00:00+00:00,49
2022-11-06 00:00:00+00:00,50
2022-11-13 00:00:00+00:00,51
2022-11-22 00:00:00+00:00,53
2022-11-24 00:00:00+00:00,54
2022-12-01 00:00:00+00:00,55
2022-12-12 00:00:00+00:00,56
2022-12-13 00:00:00+00:00,57
2022-12-21 00:00:00+00:00,58
2022-12-31 00:00:00+00:00,59
2023-01-11 00:00:00+00:00,60
2023-02-12 00:00:00+00:00,61
2023-03-04 00:00:00+00:00,62
2023-03-13 00:00:00+00:00,64
2023-03-27 00:00:00+00:00,65
2023-03-31 00:00:00+00:00,66
2023-04-17 00:00:00+00:00,67
2023-04-29 00:00:00+00:00,68
2023-05-13 00:00:00+00:00,69
2023-05-17 00:00:00+00:00,70
2023-06-08 00:00:00+00:00,71
2023-06-16 00:00:00+00:00,72
2023-06-28 00:00:00+00:00,73
2023-07-02 00:00:00+00:00,74
2023-07-08 00:00:00+00:00,76
2023-07-20 00:00:00+00:00,77
2023-08-05 00:00:00+00:00,78
2023-08-06 00:00:00+00:00,79
2023-08-15 00:00:00+00:00,80
2023-08-18 00:00:00+00:00,81
2023-08-22 00:00:00+00:00,82
2023-08-23 00:00:00+00:00,83
2023-08-25 00:00:00+00:00,84
2023-08-26 00:00:00+00:00,85
2023-09-02 00:00:00+00:00,87
2023-09-04 00:00:00+00:00,88
2023-09-07 00:00:00+00:00,89
2023-09-17 00:00:00+00:00,90
2023-09-18 00:00:00+00:00,92
2023-09-20 00:00:00+00:00,93
2023-10-02 00:00:00+00:00,95
2023-10-03 00:00:00+00:00,96
2023-10-17 00:00:00+00:00,97
2023-10-26 00:00:00+00:00,99
2023-11-11 00:00:00+00:00,100
2023-11-16 00:00:00+00:00,101
2023-11-18 00:00:00+00:00,103
2023-11-20 00:00:00+00:00,104
2023-11-22 00:00:00+00:00,105
2023-12-05 00:00:00+00:00,106
2023-12-06 00:00:00+00:00,108
2023-12-07 00:00:00+00:00,115
